Title,Price,Star Rating,Genre,Publication Year,Page Count
A Light in the Attic,51.77,3,Manga,2019,400
Tipping the Velvet,53.74,1,Travel,2020,400
Soumission,50.1,1,History,2015,130
Sharp Objects,47.82,4,Fantasy,2013,200
Sapiens: A Brief History of Humankind,54.23,5,Fantasy,1990,200
The Requiem Red,22.65,1,Psychology,2016,200
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Travel,2020,300
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Cookbooks,1998,400
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Biography,2019,250
The Black Maria,52.15,1,Mystery,2013,400
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Horror,2022,300
Shakespeare's Sonnets,20.66,4,Ebooks,2010,400
Set Me Free,17.46,5,Science Fiction,2010,130
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Historical Figures,1998,250
Rip it Up and Start Again,35.02,5,Children,2016,250
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Fantasy,2017,300
Olio,23.88,1,Crime,1861,400
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Humor and ComedyHumor and Comedy,2010,130
Libertarianism for Beginners,51.33,2,Paranormal,1962,200
It's Only the Himalayas,45.17,2,Travel,2010,400
In Her Wake,12.84,1,Romance,1982,400
How Music Works,37.32,2,Poetry,2015,400
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Crime,2021,140
Chase Me (Paris Nights #2),25.27,5,Fantasy,2013,250
Black Dust,34.53,5,Philosophy,2022,250
Birdsong: A Story in Pictures,54.64,3,Fantasy,1962,130
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Comics,2016,400
Aladdin and His Wonderful Lamp,53.13,3,Ebooks,1982,200
Worlds Elsewhere: Journeys Around Shakespeares Globe,40.3,5,Suspense,2010,400
Wall and Piece,44.18,4,Art,2016,400
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Travel,1998,300
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Fantasy,2016,400
The Elephant Tree,23.82,5,Crime,1998,300
The Bear and the Piano,36.89,1,Children,2015,300
Sophie's World,15.94,5,Fiction,2022,250
Penny Maybe,33.29,3,Children,2020,250
Maude (1883-1993):She Grew Up with the country,18.02,2,Business,2016,300
"In a Dark, Dark Wood",19.63,1,Mystery,2018,200
Behind Closed Doors,52.22,4,Travel,1962,400
You can't bury them all: Poems,33.63,2,Religion,1998,400
Slow States of Collapse: Poems,57.31,3,Aircraft,2019,140
Reasons to Stay Alive,26.41,2,Travel,2017,200
Private Paris (Private #10),47.61,5,Philosophy,2022,400
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Cookbooks,2013,250
Without Borders (Wanderlove #1),45.07,2,Paranormal,2015,300
When We Collided,31.77,1,Horror,2010,400
"We Love You, Charlie Freeman",50.27,5,Romance,2017,400
Untitled Collection: Sabbath Poems 2014,14.27,4,Business,2012,250
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Romance,2015,250
Unicorn Tracks,18.78,3,Crime,1990,200
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,Art,1971,250
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,Horror,2014,400
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,Historical Figures,1982,250
This One Summer,19.49,4,Horror,1962,140
Thirst,17.27,5,Alternate-History,1971,250
The Torch Is Passed: A Harding Family Story,19.09,1,Horror,2021,400
The Secret of Dreadwillow Carse,56.13,1,Paranormal,2021,200
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,Horror,2021,200
The Past Never Ends,56.5,4,Classics,1990,200
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,Paranormal,2018,300
The Nameless City (The Nameless City #1),38.16,4,Mystery,2010,400
The Murder That Never Was (Forensic Instincts #5),54.11,3,Manga,2017,250
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,Amazon,1861,200
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,Crime,2016,300
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,Religion,1962,250
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,Art,1982,200
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,Mystery,2022,200
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,Crime,2015,400
The Death of Humanity: and the Case for Life,58.11,4,Crime,2016,250
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,Business,2015,300
The Art Forger,40.76,3,Historical Figures,2010,200
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,Manga,2010,300
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,Travel,1982,300
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Memoir,2010,300
Soul Reader,39.58,2,Romance,1861,250
Security,39.25,2,Science Fiction,1971,300
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,Business,2015,140
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Ebooks,1990,400
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,Suspense,2016,250
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Chick Lit,1990,200
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,History,2020,300
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Travel,2015,300
"Pop Gun War, Volume 1: Gift",18.97,1,Historical Figures,2022,400
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,Horror,2013,400
Patience,10.16,3,Graphic NovelsGraphic Novels,2016,300
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Biography,1962,250
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Horror,2013,400
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,Chick Lit,2017,200
On a Midnight Clear,14.07,3,Travel,1990,400
Obsidian (Lux #1),14.86,2,Crime,1861,400
My Paris Kitchen: Recipes and Stories,33.37,2,Religion,2017,300
Masks and Shadows,56.4,2,Travel,1962,130
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Thriller,1861,250
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,History,2012,250
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Amazon,1962,200
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Non-Fiction,1982,200
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,Manga,1962,200
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,Manga,1861,300
Join,35.67,5,History,1861,400
In the Country We Love: My Family Divided,22.0,4,Crime,1861,400
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,Thriller,1962,250
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Amazon,2013,200
I am a Hero Omnibus Volume 1,54.63,3,Self Help,1990,400
How to Be Miserable: 40 Strategies You Already Use,46.03,1,Aircraft,1990,200
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Children,2013,400
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Horror,2017,300
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Mystery,2014,450
First and First (Five Boroughs #3),15.97,4,History,2013,250
Fifty Shades Darker (Fifty Shades #2),21.96,1,Horror,2016,300
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,History,1990,250
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Fantasy,2013,400
Danganronpa Volume 1,51.99,4,Psychology,1998,250
Crown of Midnight (Throne of Glass #2),43.29,3,Graphic NovelsGraphic Novels,2010,400
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Historical Figures,2021,250
Camp Midnight,17.08,4,Historical Figures,2016,300
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Humor and ComedyHumor and Comedy,1998,400
Burning,28.81,3,Horror,2021,400
Bossypants,49.46,2,Crime,1861,200
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Suspense,2022,400
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Aeroplanes,2020,130
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Poetry,1990,200
A World of Flavor: Your Gluten Free Passport,42.95,1,Aircraft,2017,250
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Alternate-History,2015,130
A Murder in Time,16.64,1,Memoir,1971,400
A Flight of Arrows (The Pathfinders #2),55.53,5,Aeroplanes,2017,200
A Fierce and Subtle Poison,28.13,4,Crime,2022,300
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Aeroplanes,2015,250
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,Business,2019,300
You Are What You Love: The Spiritual Power of Habit,21.87,4,Mystery,2010,400
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Memoir,2018,300
Tuesday Nights in 1980,21.04,2,Self Help,2015,300
Tracing Numbers on a Train,41.6,3,Poetry,2017,400
Throne of Glass (Throne of Glass #1),35.07,3,Mystery,1962,130
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,Science Fiction,1998,250
Thirteen Reasons Why,52.72,1,Thriller,2013,200
The White Cat and the Monk: A Retelling of the Poem Pangur Bán,58.08,4,Spirituality,2021,450
The Wedding Dress,24.12,1,Children,2017,140
The Vacationers,42.15,4,Poetry,2014,250
The Third Wave: An Entrepreneurs Vision of the Future,12.61,5,Business,1990,350
The Stranger,17.44,4,History,2017,450
The Shadow Hero (The Shadow Hero),33.14,1,Crime,2021,250
The Secret (The Secret #1),27.37,4,Humor and ComedyHumor and Comedy,2016,450
The Regional Office Is Under Attack!,51.36,5,Horror,2020,250
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Romance,2012,200
The Project,10.65,1,Science Fiction,1861,250
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Sports,2013,250
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Thriller,1971,400
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Thriller,2015,350
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Paranormal,1962,130
The Mistake (Off-Campus #2),43.29,3,Biography,1971,400
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,Children,2022,400
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Romance,1998,250
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Mystery,1962,400
The Kite Runner,41.82,4,Romance,1982,140
The House by the Lake,36.95,1,Romance,1990,200
The Glittering Court (The Glittering Court #1),44.28,1,Spirituality,2017,400
The Girl on the Train,55.02,2,Paranormal,2012,130
The Genius of Birds,17.24,1,Horror,2017,300
The Emerald Mystery,23.15,2,Aircraft,2019,250
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Horror,1962,300
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Horror,2020,300
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Sports,2019,300
The Art of War,33.34,5,Children,2012,250
The Argonauts,10.93,2,Science,1962,250
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Comics,1861,250
Suddenly in Love (Lake Haven #1),55.99,2,Thriller,2016,200
Something More Than This,16.24,4,Classics,2014,400
Soft Apocalypse,26.12,2,Fantasy,1990,300
So You've Been Publicly Shamed,12.23,2,Graphic NovelsGraphic Novels,2021,350
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Horror,1861,140
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Crime,2010,350
Secrets and Lace (Fatal Hearts #1),20.27,1,Thriller,1861,350
Scarlett Epstein Hates It Here,43.55,5,Travel,1962,400
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Graphic NovelsGraphic Novels,2013,300
Redeeming Love,20.47,5,Historical Figures,2020,250
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Suspense,2016,250
Poems That Make Grown Women Cry,14.19,4,Fantasy,2018,400
"Nightingale, Sing",38.28,1,Music,2020,300
Night Sky with Exit Wounds,41.05,1,Romance,1962,300
Mrs. Houdini,30.25,5,Mystery,2012,250
Modern Romance,28.26,5,Paranormal,2018,350
Miss Peregrines Home for Peculiar Children (Miss Peregrines Peculiar Children #1),10.76,1,Children,1990,250
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Religion,2013,400
Little Red,13.47,3,Thriller,2017,400
Library of Souls (Miss Peregrines Peculiar Children #3),48.56,5,Paranormal,1998,300
Large Print Heart of the Pride,19.15,2,Aircraft,1982,300
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Philosophy,2021,140
Hollow City (Miss Peregrines Peculiar Children #2),42.98,1,Science Fiction,2018,300
Grumbles,22.16,2,Thriller,2015,200
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Mystery,1861,250
Frostbite (Vampire Academy #2),29.99,5,Historical Figures,1861,200
Follow You Home,21.36,1,Mystery,2016,400
First Steps for New Christians (Print Edition),29.0,1,Travel,1982,130
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Horror,2010,140
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Aircraft,1962,250
Eureka Trivia 6.0,54.59,4,Science Fiction,2020,300
Drive: The Surprising Truth About What Motivates Us,34.95,4,Science Fiction,2010,300
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Spirituality,1998,350
Doing It Over (Most Likely To #1),35.61,3,Spirituality,2019,130
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Horror,2013,200
Dark Notes,19.19,5,Travel,2010,250
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,Aircraft,2012,250
Close to You,49.46,4,History,2014,400
Chasing Heaven: What Dying Taught Me About Living,37.8,2,History,1861,400
Big Magic: Creative Living Beyond Fear,30.8,3,Aeroplanes,1861,200
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,Philosophy,2016,250
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,Aircraft,2016,130
Batman: The Long Halloween (Batman),36.5,2,Travel,2022,450
Batman: The Dark Knight Returns (Batman),15.38,5,Religion,2019,250
Ayumi's Violin,15.48,2,Comics,2019,250
Anonymous,46.82,4,Chick Lit,1962,250
Amy Meets the Saints and Sages,18.46,3,Cookbooks,1861,400
Amid the Chaos,36.58,1,Fiction,1982,400
Amatus,50.54,5,Religion,2018,250
Agnostic: A Spirited Manifesto,12.51,5,Paranormal,2022,250
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,Travel,1998,450
You (You #1),43.61,5,Science,2014,300
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Paranormal,1982,350
Wild Swans,14.36,2,Paranormal,1998,250
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,History,2021,300
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,Fantasy,2020,300
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,Aeroplanes,2021,300
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,Romance,2014,250
Walt Disney's Alice in Wonderland,12.96,5,Alternate-History,1971,200
V for Vendetta (V for Vendetta Complete),37.1,4,History,2016,300
Until Friday Night (The Field Party #1),46.31,2,Historical Figures,2016,250
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,Thriller,1962,250
Twenty Yawns,22.08,2,Chick Lit,2020,200
Through the Woods,25.38,2,Science Fiction,1998,250
This Is Where It Ends,27.12,2,Religion,1990,130
The Year of Magical Thinking,43.04,2,Self Help,2013,250
The Wright Brothers,56.8,4,Memoir,1982,250
The White Queen (The Cousins' War #1),25.91,5,Suspense,2022,130
The Wedding Pact (The O'Malleys #2),32.61,3,Art,2022,130
The Time Keeper,27.88,5,Suspense,2015,300
The Testament of Mary,52.67,4,Fiction,2012,140
The Star-Touched Queen,46.02,5,History,2022,200
The Songs of the Gods,44.48,5,Historical Figures,2010,140
The Song of Achilles,37.4,5,Crime,2014,350
The Rosie Project (Don Tillman #1),54.04,1,Thriller,2013,250
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,Romance,1861,250
The Marriage of Opposites,28.08,4,Aircraft,1861,250
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,Agriculture,2020,250
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Comics,2021,300
The Loney,23.4,1,Alternate-History,2020,400
The Literature Book (Big Ideas Simply Explained),17.43,3,Religion,2016,250
The Last Mile (Amos Decker #2),54.21,2,Horror,1998,300
The Immortal Life of Henrietta Lacks,40.67,2,Classics,2021,140
The Hidden Oracle (The Trials of Apollo #1),52.26,2,Science,2022,350
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,Art,2017,200
The Guilty (Will Robie #4),13.82,2,Chick Lit,1861,450
The First Hostage (J.B. Collins #2),25.85,3,Ebooks,2012,250
The Dovekeepers,48.78,1,Thriller,2013,300
The Darkest Lie,35.35,5,Thriller,2018,200
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Religion,2022,140
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worlds Most Precious Manuscripts,15.77,1,Mystery,1861,450
The 14th Colony (Cotton Malone #11),39.24,1,Comics,2016,200
That Darkness (Gardiner and Renner #1),13.92,1,Comics,2019,200
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Humor and ComedyHumor and Comedy,1962,300
Take Me with You,45.21,3,Historical Figures,2018,300
Swell: A Year of Waves,45.58,1,Historical Figures,1998,250
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Manga,2012,250
Still Life with Bread Crumbs,26.41,3,Thriller,1990,400
Steve Jobs,39.5,5,Crime,2013,300
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Science,1861,250
Someone Like You (The Harrisons #2),52.79,5,Horror,2013,300
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Psychology,1982,250
Shtum,55.84,4,Religion,2018,450
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,History,2021,130
salt.,46.78,4,Travel,2021,200
Robin War,47.82,3,History,2019,400
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,Self Help,1971,200
Rain Fish,23.57,3,History,2015,250
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,Fiction,2022,400
Pet Sematary,10.56,3,Romance,2018,300
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,Psychology,1990,400
Once Was a Time,18.28,2,History,1990,250
Old School (Diary of a Wimpy Kid #10),11.83,5,Fiction,2010,300
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,Humor and ComedyHumor and Comedy,2018,300
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,Religion,1990,250
My Name Is Lucy Barton,41.56,1,Crime,2012,450
My Mrs. Brown,24.48,3,Non-Fiction,2020,200
My Kind of Crazy,40.36,1,Philosophy,2017,200
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fantasy,1990,250
More Than Music (Chasing the Dream #1),37.61,2,Contemporary,2020,350
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Religion,1971,400
Luis Paints the World,53.95,3,Memoir,2022,300
Luckiest Girl Alive,49.83,3,Crime,1962,200
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,History,2020,400
Love Is a Mix Tape (Music #1),18.03,1,Historical Figures,2022,200
Looking for Lovely: Collecting the Moments that Matter,29.14,5,Science Fiction,2022,300
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,Cookbooks,2015,200
Let It Out: A Journey Through Journaling,26.79,5,Mystery,1998,300
Lady Midnight (The Dark Artifices #1),16.28,5,Graphic NovelsGraphic Novels,2013,450
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,Humor and ComedyHumor and Comedy,1998,400
Island of Dragons (Unwanteds #7),29.65,1,Humor and ComedyHumor and Comedy,2010,450
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Thriller,2010,400
I Am Pilgrim (Pilgrim #1),10.6,4,Self Help,2021,140
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Adventure,1998,250
"Hush, Hush (Hush, Hush #1)",47.02,3,Poetry,2016,130
Hold Your Breath (Search and Rescue #1),28.82,1,Science Fiction,2021,400
Hamilton: The Revolution,58.79,3,Agriculture,2021,140
Greek Mythic History,10.23,5,Romance,2018,400
God: The Most Unpleasant Character in All Fiction,30.03,5,Aeroplanes,2019,400
Glory over Everything: Beyond The Kitchen House,45.84,3,History,2014,400
Feathers: Displays of Brilliant Plumage,49.05,3,Horror,2019,140
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Thriller,1990,250
Every Last Word,46.47,3,Horror,2016,200
Eligible (The Austen Project #4),27.09,3,Business,1861,400
El Deafo,57.62,5,Crime,2014,140
Eight Hundred Grapes,14.39,4,Children,1998,130
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,Mystery,2018,400
"Eat Fat, Get Thin",54.07,2,Mystery,2010,250
Don't Get Caught,55.35,1,History,1861,400
Doctor Sleep (The Shining #2),40.12,2,Memoir,1990,140
